timestamp,T_Ambient_Actual,T_Pinda_Actual,T_Bed_Setpoint,Power_Bed,T_Bed_Actual,Speed_Fan_Hotend,Speed_Fan_Part,PWM_Fan_Hotend,PWM_Fan_Part,T_Hotend_Setpoint,Power_Hotend,T_Hotend_Actual,T_Tool_Actual,T_Tool_Setpoint,StepperOnOff,X_Setpoint,Y_Setpoint,Z_Setpoint,E_Setpoint,F_Setpoint
2023-10-09 12:14:47.712000+00:00,44.1,35.3,60.0,25.0,60.1,4320.0,4320.0,255.0,255.0,210.0,109.0,210.5,210.5,210.0,1.0,164.122,137.615,2.0,84952.71923988067,720.0
2023-11-29 12:46:55.482000+00:00,42.8,47.9,90.0,82.0,90.0,4380.0,3060.0,255.0,76.0,243.0,85.0,242.8,242.8,243.0,1.0,160.189,39.522,17.2,276278.4734406221,2400.0
2023-12-04 13:45:47.459000+00:00,26.5,19.9,0.0,0.0,22.3,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,200.0,64.6,281957.8051807748,3000.0
2023-10-18 09:42:20.200000+00:00,42.2,32.4,60.0,51.0,59.9,4320.0,4440.0,255.0,255.0,210.0,110.0,210.5,210.5,210.0,1.0,139.101,107.457,14.0,119727.37916983644,2100.0
2023-10-12 10:34:39.335000+00:00,46.4,42.8,90.0,81.0,89.9,4440.0,2880.0,255.0,76.0,243.0,87.0,242.6,242.6,243.0,1.0,145.513,74.9,14.9,106347.0588298815,720.0
2023-12-04 14:40:13.302000+00:00,39.7,42.2,90.0,92.0,90.0,4380.0,3000.0,255.0,76.0,243.0,83.0,243.4,243.4,243.0,1.0,131.879,82.045,1.4,282888.79953079176,5867.87
2023-11-20 12:37:17.797000+00:00,42.5,40.1,90.0,58.0,90.1,4380.0,3000.0,255.0,76.0,243.0,92.0,242.7,242.7,243.0,1.0,159.555,169.899,3.4,173507.96955965544,2100.0
2023-11-22 13:54:22.972000+00:00,40.6,37.4,90.0,34.0,90.1,4260.0,2880.0,255.0,76.0,243.0,86.0,243.5,243.5,243.0,1.0,88.275,124.454,54.8,221915.27231977545,5895.652
2023-03-30 12:30:16.334000+00:00,39.0,34.1,60.0,19.0,60.0,4200.0,4500.0,255.0,255.0,225.0,127.0,222.9,222.9,225.0,1.0,118.658,113.235,27.8,8559.211309999726,8640.0
2023-12-07 10:11:31.602000+00:00,41.0,38.7,90.0,90.0,89.8,4260.0,2880.0,255.0,76.0,243.0,109.0,241.1,241.1,243.0,1.0,85.661,98.142,3.0,286730.25272085366,8640.0
2023-09-28 12:37:09.200000+00:00,38.7,32.2,0.0,0.0,43.1,4320.0,0.0,255.0,0.0,0.0,0.0,78.1,78.1,0.0,0.0,0.0,200.0,32.15,63081.75876002609,3000.0
2023-10-12 12:16:14.562000+00:00,47.9,41.1,90.0,77.0,89.9,4380.0,3660.0,255.0,117.0,243.0,95.0,243.2,243.2,243.0,1.0,99.958,34.244,37.4,110603.07788985464,7638.836
2023-11-06 11:20:59.301000+00:00,43.2,34.5,60.0,34.0,60.0,4260.0,4500.0,255.0,255.0,215.0,127.0,213.5,213.5,215.0,1.0,64.036,131.83,9.2,130151.38443990664,2100.0
2023-11-14 11:30:11.648000+00:00,42.5,35.1,60.0,56.0,59.8,4260.0,4500.0,255.0,255.0,210.0,100.0,210.8,210.8,210.0,1.0,158.94,116.527,9.05,146439.36433988577,8640.0
2023-10-02 09:16:48.800000+00:00,40.8,36.2,60.0,0.0,60.4,4380.0,4320.0,255.0,170.0,210.0,111.0,209.7,209.7,210.0,1.0,80.923,153.71,0.5,63622.94534002653,12000.0
2023-12-07 10:18:56.693000+00:00,41.2,42.8,90.0,43.0,90.3,4320.0,2760.0,255.0,76.0,243.0,79.0,243.5,243.5,243.0,1.0,129.462,40.44,3.2,286999.80680086353,2100.0
2023-11-22 12:05:40.250000+00:00,40.9,37.5,90.0,48.0,90.0,4260.0,2820.0,255.0,76.0,243.0,88.0,243.4,243.4,243.0,1.0,125.779,136.181,17.2,208847.94078978687,5888.747
2023-03-28 09:17:03.604000+00:00,38.6,32.9,60.0,43.0,60.0,4260.0,4980.0,255.0,255.0,215.0,98.0,215.9,215.9,215.0,1.0,133.618,120.143,4.85,978.3644399999342,1500.0
2024-01-17 15:15:34.652000+00:00,43.8,38.5,60.0,31.0,60.0,4440.0,4320.0,255.0,255.0,215.0,106.0,215.2,215.2,215.0,1.0,80.672,90.289,8.2,35278.415099987615,3600.0
2023-10-18 11:06:33.600000+00:00,43.2,32.0,60.0,27.0,60.0,4260.0,4320.0,255.0,255.0,210.0,123.0,209.0,209.0,210.0,1.0,149.532,63.635,31.35,123377.18997986028,720.0
2023-11-15 11:50:29.696000+00:00,41.8,35.6,60.0,19.0,60.0,4260.0,4560.0,255.0,255.0,210.0,122.0,208.9,208.9,210.0,1.0,126.938,74.05,13.1,166836.0577296888,12000.0
